county_id,state,population,rural_index,pct_college_educated,median_household_income,pct_uninsured,primary_care_per_100k,pct_republican_vote,social_trust_score,prior_flu_vax_rate,covid_death_rate_100k,hesitancy_score,vaccination_rate,high_hesitancy
CTY0241,AL,61676,0.364,0.05,61258,0.115,71.4,0.362,0.572,0.404,274.8,70.12,0.392,0
CTY0242,TN,137566,0.166,0.323,69760,0.027,104.3,0.506,0.608,0.415,178.5,46.61,0.58,0
CTY0243,WV,66898,0.235,0.27,58403,0.159,81.8,0.561,0.406,0.401,238.4,67.33,0.328,0
CTY0244,TN,50279,0.252,0.224,47241,0.158,36.4,0.518,0.208,0.453,180.4,74.53,0.265,1
CTY0245,TX,242412,0.199,0.193,40235,0.043,90.8,0.473,0.707,0.598,93.5,55.45,0.491,0
CTY0246,OH,17838,0.334,0.103,57372,0.131,89.4,0.703,0.617,0.548,212.9,76.93,0.342,1
CTY0247,OH,32982,0.224,0.441,32835,0.057,67.9,0.409,0.643,0.412,175.1,48.06,0.495,0
CTY0248,NC,51400,0.213,0.33,68454,0.121,73.4,0.797,0.622,0.547,235.0,72.64,0.411,1
CTY0249,NC,83839,0.697,0.175,60457,0.075,105.8,0.84,0.27,0.561,284.8,76.9,0.376,1
CTY0250,OH,4729,0.688,0.333,60791,0.168,103.3,0.344,0.593,0.569,57.3,58.09,0.43,0
CTY0251,NC,147925,0.324,0.131,56112,0.112,40.2,0.581,0.451,0.459,44.5,76.18,0.357,1
CTY0252,NC,15715,0.277,0.3,64756,0.15,116.9,0.441,0.738,0.591,137.8,50.25,0.588,0
CTY0253,KY,38233,0.275,0.326,58920,0.122,69.8,0.702,0.781,0.519,139.1,72.56,0.416,1
CTY0254,OH,67988,0.349,0.261,60345,0.151,61.1,0.361,0.269,0.576,125.1,44.62,0.574,0
CTY0255,FL,44971,0.399,0.254,52753,0.145,87.5,0.582,0.738,0.48,157.2,56.25,0.492,0
CTY0256,FL,139295,0.145,0.235,22000,0.125,62.3,0.438,0.441,0.427,40.0,61.67,0.42,0
CTY0257,AL,31389,0.287,0.384,22000,0.042,56.4,0.767,0.597,0.446,210.4,70.14,0.376,0
CTY0258,GA,173838,0.577,0.171,81606,0.08,75.3,0.535,0.686,0.285,193.8,78.34,0.265,1
CTY0259,MI,11796,0.615,0.332,41641,0.082,67.9,0.503,0.645,0.591,209.3,69.03,0.353,0
CTY0260,OH,163857,0.275,0.246,42067,0.122,103.6,0.636,0.475,0.476,155.8,73.48,0.343,1
CTY0261,TX,447245,0.392,0.442,52725,0.115,67.7,0.429,0.475,0.495,226.5,53.66,0.514,0
CTY0262,FL,11639,0.48,0.184,63746,0.02,98.7,0.559,0.406,0.439,310.4,74.91,0.347,1
CTY0263,AL,83520,0.263,0.277,50800,0.173,79.5,0.92,0.432,0.496,215.8,71.26,0.32,1
CTY0264,PA,84282,0.484,0.336,45772,0.122,25.3,0.521,0.632,0.68,151.0,62.14,0.473,0
CTY0265,MO,6215,0.539,0.3,41816,0.064,69.2,0.264,0.714,0.555,103.5,59.23,0.492,0
CTY0266,GA,46408,0.173,0.23,46798,0.164,16.4,0.503,0.277,0.289,68.3,79.24,0.205,1
CTY0267,GA,30427,0.343,0.364,45914,0.057,64.3,0.611,0.744,0.459,191.9,48.46,0.553,0
CTY0268,NC,29579,0.361,0.178,61056,0.139,84.1,0.558,0.439,0.641,212.8,75.31,0.389,1
CTY0269,NC,98804,0.531,0.388,61760,0.116,79.7,0.653,0.401,0.401,231.8,53.54,0.389,0
CTY0270,WV,14559,0.206,0.405,33907,0.121,74.7,0.65,0.767,0.585,198.2,47.83,0.578,0
CTY0271,MI,15661,0.508,0.367,59537,0.149,94.9,0.497,0.4,0.559,100.7,66.22,0.404,0
CTY0272,MI,20347,0.572,0.151,57104,0.165,67.2,0.755,0.501,0.588,131.0,86.29,0.247,1
CTY0273,IN,38314,0.313,0.235,53711,0.058,84.8,0.755,0.603,0.502,144.3,83.81,0.285,1
CTY0274,AL,332023,0.216,0.234,52669,0.046,54.1,0.739,0.498,0.655,219.0,79.81,0.28,1
CTY0275,OH,188058,0.398,0.315,41746,0.165,69.8,0.582,0.741,0.603,127.9,52.96,0.547,0
CTY0276,VA,68136,0.401,0.262,66543,0.089,68.4,0.564,0.671,0.46,135.9,69.15,0.438,0
CTY0277,TN,28519,0.207,0.247,28103,0.098,59.0,0.555,0.531,0.404,171.8,71.36,0.338,1
CTY0278,MI,20114,0.403,0.318,55745,0.121,86.5,0.569,0.756,0.612,117.8,44.2,0.497,0
CTY0279,MI,186787,0.421,0.337,46218,0.08,56.1,0.486,0.859,0.394,236.0,58.12,0.492,0
CTY0280,WV,169724,0.16,0.388,90935,0.072,65.8,0.1,0.545,0.768,234.9,23.66,0.76,0
CTY0281,PA,130428,0.188,0.199,50410,0.104,91.0,0.571,0.646,0.557,200.2,54.37,0.488,0
CTY0282,AL,85191,0.255,0.253,47789,0.063,42.0,0.762,0.634,0.486,172.7,74.68,0.396,1
CTY0283,WV,52506,0.531,0.325,32613,0.054,46.7,0.1,0.552,0.551,145.3,43.83,0.542,0
CTY0284,MO,30150,0.594,0.427,66589,0.121,66.0,0.752,0.452,0.433,156.3,75.54,0.239,1
CTY0285,VA,94099,0.549,0.34,62190,0.13,117.1,0.414,0.48,0.429,134.7,63.56,0.362,0
CTY0286,WV,238903,0.384,0.242,73815,0.154,118.5,0.531,0.56,0.45,52.7,77.12,0.236,1
CTY0287,KY,343584,0.474,0.177,54253,0.16,58.2,0.824,0.624,0.296,157.0,92.73,0.184,1
CTY0288,IN,15458,0.343,0.404,60800,0.163,55.3,0.499,0.597,0.397,274.4,42.05,0.522,0
CTY0289,TX,7646,0.501,0.279,31084,0.06,46.3,0.307,0.615,0.377,230.6,53.61,0.506,0
CTY0290,PA,3964,0.158,0.312,59088,0.081,90.7,0.155,0.302,0.573,89.4,23.27,0.744,0
CTY0291,FL,65348,0.597,0.417,58292,0.18,69.3,0.644,0.544,0.282,146.8,77.18,0.262,1
CTY0292,KY,183384,0.34,0.269,43174,0.11,66.2,0.467,0.532,0.328,301.6,60.89,0.497,0
CTY0293,TX,151070,0.014,0.241,51644,0.152,26.1,0.692,0.708,0.274,348.4,78.0,0.317,1
CTY0294,TN,61878,0.138,0.234,75952,0.063,58.7,0.386,0.781,0.343,196.6,58.0,0.496,0
CTY0295,TN,30007,0.123,0.348,42526,0.109,74.6,0.714,0.256,0.484,203.1,65.16,0.403,0
CTY0296,MO,13635,0.542,0.398,45624,0.102,107.2,0.729,0.505,0.686,209.7,60.22,0.427,0
CTY0297,GA,36301,0.355,0.178,56594,0.101,92.6,0.56,0.511,0.201,215.8,80.13,0.217,1
CTY0298,GA,97991,0.533,0.287,59597,0.169,86.4,0.415,0.55,0.467,132.1,60.15,0.431,0
CTY0299,AL,67258,0.595,0.197,61911,0.055,59.7,0.532,0.486,0.503,195.9,76.52,0.279,1
CTY0300,MO,116996,0.234,0.169,64620,0.15,94.3,0.295,0.858,0.541,257.5,56.15,0.452,0
CTY0301,AL,39027,0.115,0.309,65051,0.064,92.5,0.79,0.504,0.453,230.3,63.91,0.456,0
CTY0302,IN,860289,0.647,0.355,62859,0.106,76.0,0.545,0.471,0.446,181.4,61.53,0.384,0
CTY0303,TN,29835,0.851,0.443,42608,0.121,116.8,0.781,0.692,0.703,103.0,54.33,0.457,0
CTY0304,WV,233153,0.181,0.358,42633,0.15,89.6,0.466,0.154,0.518,186.1,65.61,0.506,0
CTY0305,TX,36655,0.413,0.346,66787,0.161,87.3,0.287,0.542,0.592,262.1,51.31,0.463,0
CTY0306,IL,6819,0.384,0.331,70450,0.115,53.9,0.558,0.503,0.657,177.3,52.77,0.484,0
CTY0307,WV,95357,0.319,0.266,86502,0.131,71.3,0.8,0.504,0.537,133.0,81.66,0.293,1
CTY0308,VA,101572,0.095,0.272,80083,0.167,66.0,0.92,0.258,0.438,40.0,89.36,0.255,1
CTY0309,NC,32949,0.265,0.252,60524,0.02,46.2,0.243,0.654,0.223,197.6,50.45,0.446,0
CTY0310,FL,60494,0.085,0.352,62735,0.04,71.5,0.221,0.748,0.465,247.0,56.38,0.504,0
CTY0311,VA,4286,0.819,0.181,57173,0.067,44.1,0.288,0.44,0.455,163.5,73.93,0.289,1
CTY0312,IL,45341,0.571,0.386,69067,0.192,86.2,0.563,0.748,0.51,259.4,63.75,0.392,0
CTY0313,PA,96897,0.29,0.309,31751,0.103,67.7,0.23,0.487,0.522,136.5,43.92,0.558,0
CTY0314,GA,401191,0.237,0.216,79261,0.046,58.2,0.447,0.601,0.391,157.4,60.2,0.453,0
CTY0315,GA,216024,0.112,0.255,47590,0.119,15.0,0.673,0.658,0.621,255.4,65.3,0.438,0
CTY0316,KY,42029,0.353,0.272,33351,0.113,56.2,0.462,0.208,0.599,222.5,69.65,0.447,0
CTY0317,MI,51262,0.674,0.357,66265,0.14,76.6,0.66,0.618,0.515,244.6,81.21,0.316,1
CTY0318,MI,101859,0.286,0.106,59009,0.149,50.6,0.219,0.648,0.308,170.5,64.79,0.382,0
CTY0319,VA,67118,0.114,0.243,45943,0.142,52.6,0.224,0.591,0.303,40.0,48.49,0.523,0
CTY0320,PA,143252,0.21,0.308,41610,0.083,86.1,0.542,0.777,0.394,210.6,70.62,0.359,0
CTY0321,OH,45507,0.108,0.269,45342,0.053,67.8,0.282,0.442,0.611,210.9,36.02,0.708,0
CTY0322,VA,19663,0.627,0.312,50151,0.171,61.6,0.724,0.553,0.344,195.0,77.46,0.244,1
CTY0323,OH,304057,0.252,0.298,60204,0.142,31.7,0.475,0.74,0.35,313.1,69.67,0.332,0
CTY0324,WV,68296,0.721,0.337,51233,0.107,82.1,0.53,0.628,0.216,80.9,69.14,0.302,0
CTY0325,IL,208653,0.416,0.277,95297,0.146,94.6,0.57,0.316,0.44,181.1,65.93,0.427,0
CTY0326,MO,15312,0.075,0.17,73515,0.053,79.5,0.176,0.814,0.538,149.1,35.92,0.675,0
CTY0327,PA,10864,0.848,0.126,44067,0.119,15.0,0.362,0.277,0.465,225.8,89.9,0.18,1
CTY0328,IN,220898,0.261,0.162,47850,0.142,67.9,0.368,0.454,0.503,279.4,71.46,0.351,1
CTY0329,WV,176269,0.082,0.164,43226,0.097,66.8,0.73,0.612,0.455,169.3,69.1,0.385,0
CTY0330,FL,65501,0.066,0.227,60166,0.136,84.4,0.286,0.242,0.569,167.2,54.18,0.489,0
CTY0331,KY,151556,0.181,0.262,43364,0.079,80.5,0.452,0.462,0.515,174.5,53.65,0.514,0
CTY0332,TX,209282,0.147,0.235,74733,0.142,62.6,0.561,0.42,0.18,57.3,80.08,0.3,1
CTY0333,PA,37419,0.645,0.179,30040,0.199,77.1,0.406,0.643,0.571,214.6,63.63,0.356,0
CTY0334,TX,16659,0.295,0.314,54790,0.12,63.9,0.123,0.338,0.333,103.5,36.5,0.574,0
CTY0335,NC,23582,0.163,0.361,54112,0.02,61.9,0.424,0.408,0.18,203.9,46.66,0.549,0
CTY0336,NC,78088,0.455,0.28,45730,0.089,51.8,0.756,0.439,0.455,52.0,76.94,0.276,1
CTY0337,PA,15698,0.748,0.285,44075,0.072,87.7,0.285,0.589,0.333,150.4,56.78,0.35,0
CTY0338,KY,30221,0.152,0.212,22000,0.133,49.3,0.869,0.53,0.438,197.4,69.73,0.38,0
CTY0339,GA,504780,0.267,0.145,59714,0.138,51.4,0.357,0.53,0.444,42.9,57.63,0.435,0
CTY0340,GA,106217,0.07,0.408,42776,0.126,87.0,0.799,0.627,0.322,201.7,49.34,0.551,0
CTY0341,TN,127433,0.22,0.107,58216,0.057,83.8,0.66,0.27,0.421,171.4,82.63,0.309,1
CTY0342,TX,48235,0.7,0.401,65125,0.099,54.4,0.259,0.313,0.189,177.5,59.3,0.421,0
CTY0343,MO,15390,0.691,0.295,40851,0.126,54.5,0.632,0.555,0.576,192.1,79.71,0.282,1
CTY0344,TN,16941,0.548,0.242,55257,0.124,85.3,0.503,0.583,0.769,250.0,44.91,0.597,0
CTY0345,TX,222886,0.511,0.329,50871,0.02,77.3,0.52,0.544,0.347,181.3,69.89,0.319,0
CTY0346,AL,74956,0.471,0.132,70206,0.022,103.9,0.814,0.411,0.473,130.0,85.56,0.321,1
CTY0347,VA,74825,0.504,0.439,38248,0.195,99.4,0.305,0.652,0.317,40.0,56.76,0.454,0
CTY0348,MO,10960,0.596,0.087,22000,0.104,29.6,0.479,0.591,0.621,201.4,84.07,0.261,1
CTY0349,FL,391031,0.257,0.122,53666,0.121,37.4,0.744,0.692,0.246,226.8,81.8,0.208,1
CTY0350,AL,11073,0.839,0.401,69419,0.12,39.0,0.757,0.59,0.58,261.9,74.25,0.301,1
CTY0351,TN,43757,0.508,0.435,66039,0.156,91.6,0.578,0.283,0.467,82.6,60.43,0.463,0
CTY0352,OH,146248,0.867,0.321,54037,0.119,117.2,0.376,0.839,0.78,128.5,50.53,0.449,0
CTY0353,IL,72615,0.085,0.189,75569,0.047,15.0,0.586,0.501,0.34,133.4,72.54,0.382,1
CTY0354,PA,34634,0.08,0.396,60164,0.063,68.0,0.526,0.249,0.457,187.0,61.83,0.439,0
CTY0355,VA,58131,0.282,0.316,49553,0.124,45.9,0.805,0.577,0.497,281.3,74.49,0.371,1
CTY0356,MO,28843,0.145,0.375,35126,0.061,88.6,0.251,0.672,0.373,170.5,45.79,0.587,0
CTY0357,OH,69785,0.508,0.198,38512,0.02,47.5,0.542,0.453,0.589,166.6,72.04,0.375,1
CTY0358,AL,81820,0.25,0.34,55458,0.255,111.2,0.638,0.678,0.676,161.7,48.51,0.57,0
CTY0359,IL,20593,0.579,0.177,67325,0.02,58.5,0.342,0.469,0.708,318.9,76.29,0.399,1
CTY0360,TX,117176,0.517,0.354,50584,0.108,85.5,0.411,0.493,0.348,224.6,71.73,0.334,1
CTY0361,IN,30316,0.312,0.315,40108,0.107,62.0,0.614,0.185,0.474,210.4,73.02,0.364,1
CTY0362,VA,7596,0.135,0.269,22000,0.082,25.9,0.636,0.798,0.506,275.2,62.54,0.386,0
CTY0363,GA,29639,0.72,0.31,51097,0.153,82.1,0.637,0.624,0.386,151.1,80.89,0.264,1
CTY0364,KY,18544,0.148,0.426,45860,0.142,49.4,0.17,0.341,0.503,261.1,35.9,0.758,0
CTY0365,MO,73867,0.654,0.288,72059,0.085,92.2,0.422,0.779,0.567,191.5,55.22,0.512,0
CTY0366,IL,7888,0.161,0.214,46724,0.146,19.8,0.92,0.564,0.18,285.2,87.37,0.18,1
CTY0367,WV,29248,0.281,0.092,56058,0.02,93.0,0.428,0.662,0.495,226.6,47.07,0.541,0
CTY0368,FL,49811,0.545,0.124,62749,0.082,58.4,0.611,0.736,0.486,244.5,86.13,0.332,1
CTY0369,MO,13812,0.107,0.182,49199,0.083,55.6,0.33,0.638,0.451,210.1,51.62,0.549,0
CTY0370,WV,85336,0.199,0.202,37390,0.085,55.3,0.61,0.386,0.465,75.4,66.59,0.436,0
CTY0371,VA,42829,0.366,0.299,81547,0.084,24.4,0.709,0.595,0.502,259.6,68.71,0.361,0
CTY0372,MI,75520,0.606,0.301,44247,0.177,71.1,0.382,0.651,0.384,182.9,68.91,0.349,0
CTY0373,NC,12121,0.761,0.262,60352,0.122,101.8,0.581,0.589,0.332,101.6,78.44,0.287,1
CTY0374,WV,21859,0.633,0.418,76308,0.215,77.8,0.706,0.827,0.597,313.3,65.77,0.297,0
CTY0375,VA,64931,0.214,0.058,64317,0.059,91.6,0.332,0.469,0.455,181.6,68.74,0.353,0
CTY0376,WV,6901,0.707,0.432,61661,0.084,49.4,0.282,0.598,0.337,175.1,72.43,0.339,1
CTY0377,IL,175132,0.145,0.401,55585,0.056,70.5,0.501,0.453,0.536,146.9,41.94,0.612,0
CTY0378,GA,13298,0.074,0.254,70794,0.068,68.4,0.362,0.587,0.409,167.9,40.61,0.579,0
CTY0379,IN,51819,0.188,0.204,35805,0.16,73.9,0.478,0.778,0.388,66.3,49.3,0.502,0
CTY0380,TN,39675,0.375,0.339,48638,0.147,105.9,0.559,0.412,0.526,230.9,46.55,0.523,0
CTY0381,IL,178766,0.288,0.356,59052,0.134,62.0,0.74,0.327,0.363,133.5,76.55,0.298,1
CTY0382,MI,104438,0.481,0.338,51407,0.02,52.7,0.683,0.37,0.505,199.7,75.95,0.371,1
CTY0383,NC,74526,0.851,0.623,74253,0.117,100.4,0.256,0.518,0.377,155.0,49.34,0.476,0
CTY0384,TX,41353,0.363,0.286,35027,0.113,93.7,0.729,0.499,0.48,235.7,73.33,0.288,1
CTY0385,TX,259756,0.502,0.319,74837,0.232,80.1,0.571,0.58,0.444,199.9,77.49,0.212,1
CTY0386,MO,27531,0.433,0.259,71254,0.106,67.7,0.1,0.504,0.574,188.0,45.93,0.525,0
CTY0387,PA,165724,0.174,0.26,34081,0.087,63.8,0.318,0.658,0.769,259.0,42.88,0.571,0
CTY0388,OH,73493,0.411,0.288,61744,0.132,77.5,0.214,0.384,0.588,158.4,74.77,0.319,1
CTY0389,VA,25635,0.392,0.268,41940,0.076,52.0,0.391,0.816,0.55,234.1,44.51,0.625,0
CTY0390,IL,159525,0.712,0.324,49998,0.098,47.2,0.293,0.574,0.33,109.5,65.98,0.348,0
CTY0391,IN,248480,0.37,0.2,55042,0.04,83.0,0.59,0.652,0.452,132.4,80.6,0.315,1
CTY0392,IN,111470,0.06,0.411,33146,0.045,70.1,0.432,0.9,0.544,194.2,31.09,0.77,0
CTY0393,VA,43714,0.373,0.226,53641,0.112,87.2,0.321,0.617,0.55,247.4,61.71,0.475,0
CTY0394,PA,47494,0.47,0.185,48650,0.188,61.5,0.472,0.409,0.44,210.3,86.74,0.18,1
CTY0395,OH,138703,0.555,0.255,68507,0.063,54.8,0.81,0.708,0.437,95.3,71.56,0.327,1
CTY0396,FL,66081,0.109,0.211,70525,0.12,24.0,0.769,0.387,0.706,198.5,65.98,0.411,0
CTY0397,MI,51628,0.572,0.372,33224,0.123,84.8,0.443,0.457,0.398,144.8,60.54,0.356,0
CTY0398,KY,32019,0.374,0.389,63731,0.116,67.3,0.454,0.657,0.375,233.0,65.49,0.433,0
CTY0399,KY,3418,0.355,0.339,39181,0.02,86.6,0.271,0.648,0.372,271.5,53.6,0.431,0
CTY0400,TN,15343,0.548,0.168,51174,0.083,52.3,0.707,0.626,0.455,192.9,80.32,0.283,1
CTY0401,IN,123021,0.356,0.418,40211,0.131,64.6,0.597,0.275,0.446,139.6,65.67,0.398,0
CTY0402,IN,23876,0.192,0.185,83367,0.256,36.5,0.3,0.618,0.523,170.2,58.23,0.466,0
CTY0403,MO,82077,0.647,0.39,48330,0.044,84.6,0.441,0.606,0.379,216.5,60.62,0.391,0
CTY0404,MO,24370,0.712,0.441,28675,0.177,75.5,0.857,0.642,0.381,130.1,76.6,0.28,1
CTY0405,NC,98636,0.762,0.214,44773,0.049,101.7,0.466,0.189,0.278,202.3,81.39,0.227,1
CTY0406,IL,7099,0.446,0.223,46245,0.141,59.0,0.869,0.573,0.416,180.7,78.97,0.328,1
CTY0407,NC,35348,0.229,0.48,32855,0.038,83.3,0.436,0.574,0.468,132.8,53.92,0.58,0
CTY0408,TN,20572,0.169,0.211,72706,0.161,64.3,0.284,0.569,0.339,274.8,50.96,0.426,0
CTY0409,MO,56219,0.242,0.262,57289,0.153,78.3,0.453,0.523,0.545,202.2,41.88,0.513,0
CTY0410,VA,157929,0.15,0.287,50178,0.124,42.3,0.417,0.508,0.426,265.4,42.67,0.587,0
CTY0411,PA,169185,0.184,0.322,55627,0.103,110.8,0.601,0.615,0.434,153.7,35.73,0.583,0
CTY0412,OH,278311,0.257,0.258,43551,0.093,43.9,0.332,0.788,0.68,257.6,62.46,0.534,0
CTY0413,WV,98445,0.231,0.211,56838,0.078,94.2,0.589,0.384,0.579,177.6,53.74,0.551,0
CTY0414,IN,11791,0.589,0.615,56244,0.074,63.8,0.472,0.538,0.471,110.4,36.02,0.6,0
CTY0415,KY,31129,0.564,0.295,27234,0.102,56.6,0.514,0.427,0.295,130.4,81.66,0.203,1
CTY0416,NC,443502,0.285,0.46,61526,0.141,93.5,0.574,0.532,0.304,314.7,56.78,0.369,0
CTY0417,FL,125490,0.438,0.273,41423,0.037,66.1,0.562,0.449,0.561,82.4,59.89,0.537,0
CTY0418,KY,27679,0.128,0.233,58564,0.059,51.1,0.77,0.342,0.396,208.2,85.83,0.298,1
CTY0419,OH,105534,0.698,0.16,51445,0.101,100.7,0.591,0.427,0.47,268.1,88.43,0.277,1
CTY0420,TX,40645,0.063,0.387,52228,0.101,109.2,0.574,0.676,0.461,231.6,48.02,0.464,0
CTY0421,GA,12510,0.419,0.311,60939,0.133,111.3,0.903,0.46,0.583,212.1,65.21,0.386,0
CTY0422,KY,49529,0.739,0.093,80308,0.156,73.5,0.743,0.705,0.24,124.9,91.75,0.18,1
CTY0423,VA,48051,0.083,0.359,57123,0.098,78.7,0.333,0.591,0.259,116.7,40.35,0.582,0
CTY0424,GA,1722,0.319,0.18,50780,0.159,126.7,0.461,0.649,0.515,147.1,53.94,0.487,0
CTY0425,KY,31392,0.647,0.233,29558,0.108,22.7,0.762,0.43,0.515,225.4,89.25,0.191,1
CTY0426,IL,12521,0.357,0.256,50726,0.02,102.0,0.554,0.485,0.354,171.3,63.26,0.392,0
CTY0427,IL,350260,0.31,0.372,42323,0.083,103.0,0.445,0.739,0.451,201.6,44.3,0.555,0
CTY0428,IL,32746,0.383,0.367,73472,0.077,81.7,0.365,0.488,0.436,186.4,48.73,0.594,0
CTY0429,IN,435117,0.417,0.212,56960,0.118,51.6,0.199,0.526,0.394,69.3,56.19,0.458,0
CTY0430,VA,9762,0.105,0.294,75831,0.087,84.5,0.787,0.517,0.479,178.6,63.98,0.469,0
CTY0431,MI,7339,0.726,0.2,46275,0.155,89.7,0.442,0.381,0.558,123.2,80.94,0.277,1
CTY0432,NC,163223,0.587,0.295,42509,0.072,74.3,0.655,0.613,0.739,190.5,71.88,0.343,1
CTY0433,MO,6028,0.35,0.25,72822,0.112,90.5,0.546,0.757,0.415,63.9,60.11,0.413,0
CTY0434,MO,131390,0.021,0.253,38119,0.02,69.6,0.329,0.459,0.57,183.6,32.93,0.73,0
CTY0435,GA,100585,0.372,0.297,69126,0.15,71.5,0.668,0.495,0.51,190.7,80.6,0.327,1
CTY0436,PA,16883,0.258,0.443,57340,0.052,40.6,0.599,0.528,0.429,153.3,57.18,0.475,0
CTY0437,FL,15576,0.406,0.264,42447,0.103,70.7,0.898,0.662,0.417,150.3,70.37,0.372,0
CTY0438,IL,71175,0.698,0.26,62432,0.174,35.0,0.682,0.607,0.494,117.6,78.67,0.244,1
CTY0439,GA,19387,0.118,0.369,39250,0.059,79.1,0.426,0.454,0.553,170.8,34.43,0.666,0
CTY0440,TX,149727,0.703,0.339,48597,0.162,72.0,0.676,0.76,0.482,116.1,70.61,0.344,0
CTY0441,IL,80676,0.379,0.374,43457,0.131,71.8,0.36,0.668,0.526,170.1,47.57,0.485,0
CTY0442,KY,51566,0.897,0.23,65902,0.112,46.5,0.71,0.361,0.306,208.5,89.7,0.18,1
CTY0443,NC,7997,0.191,0.384,40451,0.079,82.4,0.636,0.67,0.18,155.4,70.68,0.286,0
CTY0444,IL,90986,0.696,0.369,70624,0.133,94.2,0.6,0.38,0.601,260.9,69.21,0.384,0
CTY0445,KY,131873,0.509,0.357,50152,0.245,41.8,0.529,0.591,0.447,93.5,66.94,0.313,0
CTY0446,WV,302583,0.263,0.33,69626,0.115,59.6,0.602,0.452,0.338,121.6,70.84,0.325,0
CTY0447,KY,4892,0.269,0.416,56211,0.075,61.3,0.574,0.9,0.442,269.4,41.63,0.559,0
CTY0448,FL,18996,0.891,0.237,31591,0.02,73.8,0.492,0.745,0.388,273.2,80.02,0.27,1
CTY0449,IN,140429,0.727,0.241,79774,0.069,52.5,0.825,0.51,0.436,121.9,89.55,0.197,1
CTY0450,AL,150216,0.287,0.224,61097,0.152,56.6,0.409,0.679,0.436,237.2,61.84,0.403,0
CTY0451,VA,55964,0.329,0.252,73945,0.201,77.9,0.266,0.738,0.18,213.1,75.17,0.282,1
CTY0452,TX,61145,0.607,0.381,31967,0.112,56.3,0.386,0.395,0.511,159.6,60.64,0.49,0
CTY0453,MO,443047,0.229,0.392,22000,0.067,88.0,0.854,0.751,0.514,141.2,48.84,0.539,0
CTY0454,TX,103008,0.632,0.171,74675,0.131,78.2,0.559,0.607,0.269,290.1,83.53,0.233,1
CTY0455,GA,5150,0.225,0.229,50107,0.165,62.3,0.1,0.41,0.394,142.5,50.42,0.44,0
CTY0456,FL,16784,0.243,0.174,54819,0.166,78.4,0.549,0.539,0.69,83.8,50.21,0.578,0
CTY0457,GA,123613,0.116,0.423,41871,0.233,65.9,0.528,0.829,0.53,176.6,46.87,0.564,0
CTY0458,AL,76710,0.468,0.262,42364,0.127,79.2,0.338,0.517,0.513,193.5,50.75,0.488,0
CTY0459,KY,94538,0.724,0.268,49556,0.051,53.9,0.264,0.591,0.57,101.5,46.81,0.528,0
CTY0460,MO,61074,0.432,0.34,59517,0.051,48.7,0.359,0.703,0.52,182.0,55.76,0.5,0
CTY0461,AL,236827,0.293,0.229,41960,0.051,70.0,0.537,0.444,0.44,200.7,65.93,0.4,0
CTY0462,AL,10652,0.349,0.174,37316,0.086,30.2,0.235,0.491,0.422,235.0,63.01,0.395,0
CTY0463,KY,64860,0.349,0.266,50953,0.129,112.1,0.278,0.881,0.504,192.7,36.77,0.577,0
CTY0464,WV,46865,0.828,0.417,66053,0.118,92.0,0.388,0.437,0.463,248.5,56.71,0.426,0
CTY0465,IN,23904,0.251,0.368,49762,0.133,126.1,0.694,0.576,0.531,187.8,38.24,0.628,0
CTY0466,VA,9783,0.697,0.267,42279,0.139,49.5,0.315,0.776,0.534,295.6,53.52,0.421,0
CTY0467,TN,127357,0.388,0.329,63184,0.15,105.0,0.562,0.543,0.477,186.1,58.3,0.471,0
CTY0468,VA,57985,0.493,0.286,54177,0.119,72.8,0.323,0.568,0.595,164.2,67.69,0.423,0
CTY0469,FL,22350,0.261,0.347,30450,0.049,45.9,0.182,0.538,0.48,204.5,39.79,0.578,0
CTY0470,GA,46447,0.424,0.237,33246,0.083,51.6,0.1,0.501,0.575,276.1,43.29,0.578,0
CTY0471,IL,61208,0.017,0.337,57679,0.02,60.5,0.495,0.644,0.405,192.2,35.64,0.685,0
CTY0472,PA,24119,0.116,0.306,63279,0.155,74.6,0.414,0.448,0.436,230.6,55.75,0.491,0
CTY0473,MO,48088,0.19,0.207,57174,0.096,15.0,0.517,0.649,0.421,146.8,57.66,0.413,0
CTY0474,FL,149684,0.34,0.365,64150,0.172,93.4,0.531,0.574,0.423,250.0,65.95,0.386,0
CTY0475,WV,30113,0.254,0.28,62111,0.18,87.2,0.76,0.502,0.636,296.5,72.65,0.345,1
CTY0476,OH,40522,0.521,0.26,38250,0.075,75.8,0.794,0.536,0.531,161.6,82.48,0.331,1
CTY0477,TN,10266,0.634,0.404,60553,0.146,71.0,0.826,0.759,0.579,97.4,63.95,0.411,0
CTY0478,KY,15997,0.414,0.279,67492,0.065,84.4,0.457,0.789,0.518,204.5,67.88,0.41,0
CTY0479,WV,18507,0.46,0.191,57699,0.208,112.5,0.644,0.817,0.433,154.5,74.55,0.252,1
CTY0480,GA,47764,0.409,0.236,72249,0.162,57.2,0.298,0.585,0.58,189.5,51.2,0.514,0
CTY0481,TX,59697,0.399,0.338,31383,0.157,57.3,0.397,0.204,0.418,323.8,48.98,0.457,0
CTY0482,WV,233572,0.382,0.187,72558,0.201,78.3,0.562,0.525,0.483,148.7,65.77,0.35,0
CTY0483,GA,27219,0.711,0.249,42577,0.08,66.8,0.298,0.688,0.461,210.4,67.6,0.318,0
